;tfidf1.txt;tfidf2.txt;tfidf3.txt;tfidf4.txt;tfidf5.txt;
вкусно;0;0;0;0;1;
получится;0;0;1;0;0;
промышленные;0;0;0;1;0;
кстати;1;0;0;0;0;
чуть;0;1;0;1;0;
продуманной;0;0;0;0;1;
городка;0;1;0;0;0;
безусловно;0;0;0;0;1;
изображения;0;0;1;0;0;
восхищён;1;0;0;0;0;
системы;0;0;0;1;0;
дорогое;0;0;0;0;1;
уважаемый;1;0;0;0;0;
своего;0;0;0;0;1;
точки;1;0;0;0;1;
надо;0;1;1;0;1;
получать;1;0;0;0;0;
особо;0;0;0;0;1;
производительности;0;0;0;1;0;
прежде;0;0;1;0;0;
проверил;0;0;1;0;0;
программирования;0;0;0;1;1;
оркестр;0;1;0;0;0;
теперь;0;0;0;1;0;
концепция;0;0;0;1;0;
типа;0;0;0;1;0;
панков;0;0;0;0;1;
иногда;0;0;0;0;1;
пару;1;1;0;0;0;
оказались;0;0;0;1;0;
гадость;0;0;0;0;1;
хотя;0;0;0;0;1;
и;1;1;1;1;1;
клон;0;0;0;1;1;
сторонники;1;0;0;0;0;
шедевром;0;0;0;1;0;
настроек;1;0;0;1;0;
холиварах;1;0;0;0;0;
вертолётом;0;0;0;0;1;
монитор;0;0;1;0;0;
рисовать;0;1;0;0;0;
извращенцы;0;0;0;0;1;
будь;0;0;0;1;0;
маленькая;0;0;0;0;1;
вероятность;0;0;0;0;1;
приходится;0;0;0;0;1;
недели;1;0;0;0;0;
буквы;0;0;0;1;0;
microsoft;0;0;0;0;1;
неспециалистов;0;0;1;0;0;
гуманитарием;0;0;1;0;0;
настоящие;0;0;0;0;1;
гламурностью;0;0;0;1;0;
моторов;0;0;0;0;1;
типов;0;0;0;1;0;
устраняли;0;0;0;1;0;
решает;0;0;1;0;0;
детства;0;0;0;1;0;
известная;0;0;0;1;0;
переходя;0;0;0;1;0;
конкуренты;0;0;0;0;1;
ребята;0;0;0;1;0;
фон;1;0;0;0;0;
лицензионный;1;0;0;0;0;
точно;1;0;0;1;0;
недостатков;0;0;0;1;0;
стандартной;0;0;0;1;0;
принципе;0;0;0;1;0;
воспитывает;0;0;0;0;1;
народную;0;0;0;0;1;
друг;0;0;0;1;0;
более;0;0;0;1;0;
расстаться;0;0;0;1;0;
летает;0;0;0;0;1;
изображение;1;0;1;0;0;
кто;0;0;0;0;1;
умела;0;0;0;1;0;
vgaкабель;0;0;1;0;0;
подойдёт;0;0;1;0;0;
отсутствие;0;0;0;1;1;
основная;0;0;0;0;1;
сборки;1;0;0;0;0;
приспичило;0;0;1;0;0;
оказалась;0;0;0;1;0;
суровые;1;0;0;0;0;
потомство;0;0;0;1;0;
этот;0;0;0;1;0;
алкогольные;0;0;0;0;1;
удобство;1;0;0;0;0;
освободить;1;0;0;0;0;
получается;0;0;1;0;0;
повторить;0;0;1;0;0;
переходят;0;0;0;0;1;
включено;1;0;0;0;0;
сложных;0;0;0;0;1;
пониманию;0;0;0;1;0;
проприетарное;1;0;0;0;0;
много;0;1;1;0;0;
пить;0;0;0;0;1;
набор;0;0;0;1;0;
x;0;0;0;0;1;
видеокарте;0;0;1;0;0;
местах;0;0;0;1;0;
качестве;1;0;0;1;0;
net;0;0;0;0;1;
тому;0;0;0;1;0;
