 495 г. '1
 1542 году '1
 1847 году '1
1980-е'1
 442 г. '1
15 ноября 1848'1
 1536 году '1
 1915 году '1
 1796 г. '1
 1917 году '1
 1548 году '1
3 июля 1849'1
6 апреля 1849'1
16 мая 1809'1
 1797 г. '4
1 на 1000'1
 220 г. '1
 1800 г. '1
10 февраля 1848'1
 1815 г. '1
1 января 1832'1
 264 г. '1
 1525 году '1
2 февраля 1797'1
1980-х'1
 64 году '1
 1547 году '1
 452 г. '1
27 апреля 1522'1
3 ноября 1867'1
18 февраля 1861'1
 1492 году '1
22 мая 1859'1
4 июня 1800'1
1 января 1948'1
 18 году '1
 1831 году '3
13 октября 2013'1
14 февраля 1861'1
 1528 году '1
 1795 г. '1
 1720 году '1
9 марта 1889'1
 1543 году '1
 80 г. '1
27 декабря 1805'1
 1150 г. '1
 89 году '1
 1798 г. '2
 1501 году '1
 1919 году '1
 1499 году '1
 1889 году '1
III в.'8
 91 г. '2
9 января 1878'1
2 сентября 1870'1
 1879 году '1
 1946 году '1
V в.'11
 1848 г. '1
 1503 году '2
30 января 1879'1
 185 году '1
 356 г. '1
30 мая 1696'1
20 мая 1882'1
 1574 году '1
1970-е'1
3 ноября 1918'1
 1872 год '1
 304 г. '1
 225 году '1
 1511 году '1
 1887 году '1
VI вв.'3
 1881 году '1
 1916 году '1
 1812 г. '1
 1521 году '1
 1526 году '2
 1623 году '1
 1862 году '1
 1792 г. '1
 1883 году '1
9 февраля 1801'1
 290 г. '1
1 января 1889'1
10 января 1731'1
 1551 году '1
5 по 2007'1
8 апреля 1866'1
 1559 году '1
 1922 году '1
2 апреля 1860'1
 1891 году '1
 1945 году '1
26 января 1871'1
 1530 году '1
6 января 1891'1
6 июня 1861'1
6 по 1993'1
 14 г. '1
18 апреля 1797'1
4 мая 1527'1
XVI вв.'1
 1890 году '2
 1554 году '1
 90 г. '1
 1801 г. '2
 1940 году '1
14 сентября 1515'1
31 января 1891'1
 180 г. '1
1930-х'1
 1885 году '1
 1929 году '1
17 октября 1797'1
10 февраля 1947'1
 1523 году '1
 1882 году '2
25 декабря 1796'1
 213 г. '1
15 февраля 1798'1
 1814 г. '1
 1793 г. '1
19 февраля 1797'1
11 мая 1860'1
1890-х'1
 314 г. '1
VI в.'7
II в.'14
VII вв.'1
11 июля 1859'1
1870-х'1
7 марта 1821'1
 334 г. '1
 1541 году '1
 1535 году '1
12 января 1848'1
 1519 году '1
IV в.'6
 1517 году '1
 1888 году '1
 1544 году '1
 1878 году '1
 1538 году '1
 1558 году '1
 191 году '1
 1553 году '1
1960-х'1
III вв.'2
15 октября 1815'1
