russ;odin;dva;tri;tshetyre;piat;shest;sem;vosem
engl;one;two;three;four;five;six;seven;eight
latin;uno;duo;tres;quatro;quinque;sex;septem;octem
deutsch;ein;zwei;drei;fier;funf;sex;sieben;acht
russ;raz;dva;tri;cetyre;piat;shest;sem;vosem
engl;wan;tu;free;for;faiv;siks;seven;eit
russ;odin;dva;tri;tshetyre;piat;shest;sem;vosem
lingvo;каждый;охотник;желает;знать;где;сидит;фазан;?
русский;щетина;усы;бородка;борода;баки;усища;мушкитер;террорист
русский;борщ;щи;гороховый;мужик;адалал;на нас напали!;христос воскрес;но я в этом сомневаюсь
бурунский;бурунд;бурундучок;бурундук;бур;бурундиха;бурундёнок;буру;бурун
